ResponseName,ReleaseDate,ReleaseYear,ReleaseMonth,ReleaseDay,ReleaseDecade,ReleaseQuarter,Genre,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsRPG,GenreIsFreeToPlay,GenreIsSimulation,GenreIsEarlyAccess,GenreIsMassivelyMultiplayer,GenreIsNonGame,GenreIsStrategy,GenreIsSports,GenreIsRacing,PriceInitial,PriceFinal,DiscountPct,PriceCurrency,PriceCategory,IsFree,FreeOrPaid,Metacritic,MetacriticCategory,ReviewCategory,RequiredAge,AgeRating,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,PopularityCategory,RecommendationCount,PlatformWindows,PlatformLinux,PlatformMac,PlatformCategory,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,CategoryIncludeSrcSDK,DLCCount,DemoCount,MovieCount,ScreenshotCount,AchievementCount,AchievementHighlightedCount,PublisherCount,DeveloperCount,PackageCount,ControllerSupport,FreeVerAvail,PurchaseAvail,SubscriptionAvail,LanguageCount
Armies of Riddle CCG Fantasy Battle Card Game,2016-09-29,2016,September,Thursday,2010s,Q3.0,Indie,1,1,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,13,Teen,535,740,0,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,1
Cmoar VR Cinema,2016-09-29,2016,September,Thursday,2010s,Q3.0,Simulation,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,3766,1606,3049,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,1,0,0,0,1
VilleTown,2016-09-23,2016,September,Friday,2010s,Q3.0,Indie,1,0,0,0,0,0,1,0,0,0,1,0,0,5.99,5.09,0.1503,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,533,1044,533,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,1,1,1,0,0,1,0,1
Grave VR,,2015,,,2010s,,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,1347,1178,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,1,1,0,0,0,0,0,1
Escape Station,2016-09-20,2016,September,Tuesday,2010s,Q3.0,Indie,1,0,0,0,0,0,0,1,0,0,0,0,0,6.99,6.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,2,3,1,0,0,1,0,1
Lepofrenia,,2015,,,2010s,,Indie,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,0,0,0,0,0,1
Life Beetle,,2015,,,2010s,,Indie,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,0,1,0,0,0,1
EM: Shader Attack,,2015,,,2010s,,Indie,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,5919,2013,537,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,1
The Legions of Rome,2016-09-13,2016,September,Tuesday,2010s,Q3.0,Indie,1,0,0,1,0,0,1,0,0,0,1,0,0,2.99,2.99,0.0,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,2870,1402,1255,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,1,0,0,1,0,1
Platro,,2015,,,2010s,,Indie,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,2332,1263,535,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,0,0,0,0,0,1
Containment Initiative,2016-09-23,2016,September,Friday,2010s,Q3.0,Action,0,1,0,0,0,0,0,1,0,0,0,0,0,6.99,5.94,0.1502,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,539,745,539,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,1,0,0,1,0,1
Bus Tycoon ND (Night and Day),2016-09-23,2016,September,Friday,2010s,Q3.0,Strategy,0,0,0,0,0,0,1,0,0,0,1,0,0,2.99,2.54,0.1505,USD,Budget,0,Paid,0,Unrated,Unrated,0,All ages,4663,1787,811,Small,0,1,0,0,Windows Only,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,8,10,10,1,1,1,0,0,1,0,1
Yankais Triangle,,2015,,,2010s,,Indie,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,0,0,0,Small,0,1,1,1,All Platforms,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,10,0,0,1,1,0,0,0,0,0,1
Merger 3D,2016-09-29,2016,September,Thursday,2010s,Q3.0,Indie,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,4125,1681,2152,Small,0,1,0,0,Windows Only,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,1,3,0,0,0,0,0,1
Just Hero,2016-09-28,2016,September,Wednesday,2010s,Q3.0,Indie,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0, ,Free,0,Paid,0,Unrated,Unrated,0,All ages,11837,2847,8609,Small,0,1,0,0,Windows Only,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,0,1,0,0,0,1
